2018,,,,,,,,,,,,,,
Unidade da Federação,Menor 1 ano,1 a 4 anos,5 a 9 anos,10 a 14 anos,15 a 19 anos,20 a 29 anos,30 a 39 anos,40 a 49 anos,50 a 59 anos,60 a 69 anos,70 a 79 anos,80 anos e mais,Idade ignorada,Total
11 Rondônia,357,45,29,37,144,381,491,683,1066,1432,1636,1848,16,8165
12 Acre,273,49,24,40,125,297,278,348,471,620,668,895,6,4094
13 Amazonas,1253,257,122,144,513,1316,1280,1403,1968,2575,3023,3822,34,17710
14 Roraima,266,54,26,35,114,276,222,222,322,403,371,472,4,2787
15 Pará,2134,359,227,266,1166,3289,3025,3234,4349,5984,7099,9101,280,40513
16 Amapá,294,40,17,30,143,334,235,289,395,454,475,639,-,3345
17 Tocantins,323,66,25,45,178,483,535,568,863,1166,1438,2085,20,7795
21 Maranhão,1649,329,169,228,680,1976,2315,2657,3615,5425,6732,8687,63,34525
22 Piauí,735,120,55,92,271,864,1105,1393,2075,2926,4010,6266,71,19983
23 Ceará,1594,261,155,273,1347,3351,3258,3942,5690,7977,10836,18310,34,57028
24 Rio Grande do Norte,564,98,56,77,520,1211,1128,1465,2316,3125,3966,6679,4,21209
25 Paraíba,703,116,64,83,426,1033,1238,1861,2841,3902,5546,8821,10,26644
26 Pernambuco,1714,293,144,200,1103,2972,3283,4566,7253,10044,12585,17680,174,62011
27 Alagoas,658,114,63,115,472,1066,1111,1475,2380,3296,3923,4738,-,19411
28 Sergipe,576,71,48,60,279,798,831,1025,1541,2012,2341,3441,1,13024
29 Bahia,3121,404,236,372,2040,5163,5291,6734,10189,13915,16942,25530,197,90134
31 Minas Gerais,2889,477,267,409,1365,3837,5567,9131,16476,23865,28399,42866,71,135619
32 Espírito Santo,600,103,72,100,392,905,1127,1637,2926,4069,4557,6988,24,23500
33 Rio de Janeiro,2794,452,215,299,2017,5222,5357,8366,16885,27160,29084,41959,896,140706
35 São Paulo,6530,1009,462,630,2348,7126,10864,18711,36395,55824,64558,93294,562,298313
41 Paraná,1613,297,138,190,810,2499,3132,4892,8609,13406,16603,21565,94,73848
42 Santa Catarina,950,123,70,104,399,1266,1591,2616,5251,7736,9060,12099,3,41268
43 Rio Grande do Sul,1372,218,124,179,803,2278,2942,4674,9848,16624,20465,29018,73,88618
50 Mato Grosso do Sul,502,98,55,74,201,604,782,1226,2069,2987,3446,4547,9,16600
51 Mato Grosso,713,147,75,81,306,959,1155,1541,2399,3249,3664,3878,38,18205
52 Goiás,1234,212,100,156,756,1960,2311,3131,4748,6964,8148,9707,80,39507
53 Distrito Federal,453,57,34,44,184,486,697,1036,1461,2016,2344,3336,9,12157
Total,35864,5869,3072,4363,19102,51952,61151,88826,154401,229156,271919,388271,2773,1316719
